"","Event","Latitude","Longitude","Date.Time","Depth.water..m.","Press..dbar.","Temp....C.","Sal","Substrate","Subtransect","Dive.no","Morphospecies....","Cnidaria....","Arthropoda....","Bryozoa....","Chordata....","Echinod....","Porifera....","Foram.plankt....","Invert.other....","H.","J.","S","FOV.camera..m.","Slope..deg."
"1","TOSCA_ROV05",57.26887,58.12848,"2018-05-25",2541.68,2574.83,3.08,34.95,"sand",3,5,6,1,1,0,1,1,2,0,0,1.561,0.97,5,4.24,12.17
"2","TOSCA_ROV05",57.26662,58.12851,"2018-05-25",2530.26,2566.4,3.1,34.95,"boulders",4,5,1,0,0,0,0,0,1,0,0,0,NA,1,3.07,17.96
"3","TOSCA_ROV05",57.26363,58.12852,"2018-05-25",2520.99,2546.83,3.1,34.95,"bedrock",5,5,4,1,0,0,0,0,3,0,0,1.04,0.946,3,2.3,18.3
"4","TOSCA_ROV05",57.26045,58.12855,"2018-05-25",2510.6,2529.35,3.1,34.95,"sand",6,5,3,0,1,0,0,0,2,0,0,0.637,0.918,2,4.33,19.56
"5","TOSCA_ROV05",57.25373,58.12856,"2018-05-25",2486.58,2523.55,3.1,34.95,"sand",7,5,3,0,0,0,1,2,0,0,0,1.099,1,3,3.15,15.12
"6","TOSCA_ROV05",57.25163,58.12856,"2018-05-25",2483.88,2512.85,3.11,34.95,"sand",8,5,3,0,0,0,1,2,0,0,0,1.099,1,3,3,15.12
"7","TOSCA_ROV05",57.24825,58.12854,"2018-05-25",2473.66,2499.19,3.1,34.95,"boulders",9,5,22,5,0,5,2,8,2,0,0,2.41,0.94,13,3.26,21.7
"8","TOSCA_ROV05",57.24522,58.12851,"2018-05-25",2459.53,2486.04,3.1,34.95,"sand",10,5,15,5,2,1,0,6,0,1,0,2.338,0.975,11,3.16,21.79
"9","TOSCA_ROV05",57.24194,58.12853,"2018-05-25",2447.43,2468.39,3.11,34.95,"boulders",11,5,84,16,0,11,1,34,16,6,0,2.77,0.861,25,2.3,23.64
"10","TOSCA_ROV05",57.23822,58.1286,"2018-05-25",2422.46,2447.59,3.11,34.95,"boulders",12,5,114,6,0,7,0,35,65,1,0,2.448,0.761,25,2.69,20.74
"11","TOSCA_ROV05",57.2345,58.12864,"2018-05-25",2412.29,2432,3.1,34.95,"boulders",13,5,65,3,1,3,0,9,49,0,0,2.209,0.715,22,3.74,30.13
"12","TOSCA_ROV05",57.23077,58.1287,"2018-05-25",2387.37,2417.66,3.1,34.95,"sand",14,5,15,1,2,0,0,3,9,0,0,1.899,0.864,9,5.05,24.54
"13","TOSCA_ROV05",57.22803,58.12873,"2018-05-25",2386.82,2411.83,3.1,34.95,"boulders",15,5,2,1,0,0,0,0,0,1,0,0.693,1,2,2.98,16.9
"14","TOSCA_ROV05",57.22712,58.12873,"2018-05-25",2386.82,2402.77,3.11,34.95,"sand",16,5,18,1,0,1,0,2,14,0,0,1.271,0.709,6,3.42,16.9
"15","TOSCA_ROV05",57.2207,58.12884,"2018-05-25",2372.05,2386.18,3.12,34.95,"sand",17,5,5,0,0,0,0,1,2,2,0,1.332,0.961,4,4.3,15.86
"16","TOSCA_ROV05",57.2187,58.1289,"2018-05-25",2353.88,2377.84,3.11,34.95,"sand",18,5,63,0,0,0,0,2,61,0,0,0.163,0.148,3,3.08,22.63
"17","TOSCA_ROV05",57.21399,58.12896,"2018-05-25",2337.86,2369.34,3.12,34.95,"sand",19,5,70,2,0,0,0,1,67,0,0,0.224,0.162,4,3.31,9.59
"18","TOSCA_ROV05",57.2105,58.12903,"2018-05-25",2336.34,2363.64,3.12,34.95,"sand",20,5,65,1,1,0,1,1,61,0,0,0.316,0.197,5,3.39,8.32
"19","TOSCA_ROV05",57.2059,58.12912,"2018-05-25",2330.31,2358.64,3.12,34.94,"sand",21,5,75,2,2,0,1,0,70,0,0,0.352,0.197,6,3.21,6.69
"20","TOSCA_ROV05",57.20078,58.12916,"2018-05-25",2324.39,2356.76,3.12,34.95,"sand",22,5,24,1,0,0,0,0,23,0,0,0.173,0.25,2,4.67,4.44
"21","TOSCA_ROV05",57.19684,58.1292,"2018-05-25",2324.53,2355.76,3.12,34.95,"sand",23,5,24,0,1,0,0,0,23,0,0,0.173,0.25,2,4.08,4.43
"22","TOSCA_ROV05",57.19156,58.12934,"2018-05-25",2323.84,2354.61,3.14,34.94,"sand",24,5,18,0,0,0,1,0,17,0,0,0.215,0.31,2,4.11,3.31
"23","TOSCA_ROV05",57.18743,58.1294,"2018-05-25",2320.7,2353.5,3.14,34.95,"sand",25,5,51,0,0,0,1,0,50,0,0,0.097,0.139,2,4.02,5.45
"24","TOSCA_ROV05",57.18121,58.12955,"2018-05-25",2318.66,2352.31,3.14,34.94,"sand",26,5,33,0,0,0,3,0,30,0,0,0.305,0.439,2,4,4.47
"25","TOSCA_ROV05",57.17881,58.12958,"2018-05-25",2318.66,2351.26,3.15,34.94,"sand",27,5,26,0,0,0,2,1,23,0,0,0.484,0.349,4,3.88,4.47
"26","TOSCA_ROV05",57.17656,58.12962,"2018-05-25",2316.88,2348.94,3.15,34.94,"sand",28,5,42,0,1,0,0,0,41,0,0,0.113,0.162,2,3.57,4.25
"27","TOSCA_ROV05",57.17183,58.12964,"2018-05-25",2315.45,2345.41,3.15,34.94,"sand",29,5,35,0,0,0,1,1,33,0,0,0.259,0.235,3,3.6,7.87
"28","TOSCA_ROV05",57.1677,58.12961,"2018-05-25",2308.77,2341.78,3.15,34.94,"sand",30,5,43,0,3,0,1,1,38,0,0,0.47,0.339,4,3.37,10.7
"29","TOSCA_ROV05",57.16495,58.12958,"2018-05-25",2304.16,2335.47,3.15,34.94,"sand",31,5,16,2,0,0,0,1,13,0,0,0.602,0.548,3,3.38,20.55
"30","TOSCA_ROV05",57.16224,58.12965,"2018-05-25",2292.62,2330.02,3.15,34.94,"sand",32,5,9,0,0,0,0,0,9,0,0,0,NA,1,3.21,19.36
"31","TOSCA_ROV05",57.15642,58.12974,"2018-05-25",2276.65,2320.03,3.16,34.94,"sand",33,5,2,0,0,0,0,0,2,0,0,0,NA,1,2.59,17.98
"32","TOSCA_ROV05",57.15508,58.1298,"2018-05-25",2276.65,2313.01,3.17,34.94,"sand",34,5,18,1,1,0,0,1,15,0,0,1.164,0.723,5,4.05,17.98
"33","TOSCA_ROV05",57.15312,58.12975,"2018-05-25",2271.81,2304.35,3.18,34.94,"gravel",35,5,43,1,1,0,0,1,40,0,0,1.13,0.544,8,4.18,17.76
"34","TOSCA_ROV05",57.15104,58.12976,"2018-05-25",2260.81,2304.22,3.18,34.94,"bedrock",36,5,39,2,1,1,1,0,34,0,0,1.692,0.735,10,3.76,19.57
