"","site #","Region","Zoogeogr.Region","Country","Tidal Regime","Location","Longitude","Latitude","Phylum","class/orded","Family","Genus","Species","Habitat","Fresh mangrove leaves feeder","Leaf litter and propagule feeder","Microalgae and bacteria feeder","Detritivore","Suspension feeder","Macroalgal feeder","Predator","Omnivore","Scavenger","Lignivore","Burrowing","Surface digging","Woodboring","Encrustering","Leaf storing","Sruface bioturbating","Fragmentating","Free leaving"
"1",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Grapsidae","Goniopsis","Goniopsis pulchra","Inter_F",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Grapsidae","Pachygrapsus","Pachygrapsus transversus","Inter_F",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Sesarmidae","Aratus","Aratus pacificus","Inter_F",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Sesarmidae","Armases","Armases occidentale","Inter_F",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"5",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Sesarmidae","Armases","Armases angustum","Inter_F",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"6",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Sesarmidae","Sesarma","Sesarma aequatoriale","Inter_F",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"7",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Gecarcinidae","Cardisoma","Cardisoma crassum","Supra",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0
"8",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Ocypodidae","Uca","Uca heteropleura","Inter_M",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0
"9",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Ocypodidae","Leptuca","Leptuca festae","Inter_M",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0
"10",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Ocypodidae","Leptuca","Leptuca dorotheae","Inter_M",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0
"11",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Ocypodidae","Leptuca","Leptuca beebei","Inter_M",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0
"12",1,"S-America-W","East-Pacific","Colombia","Macro","Báhia Málaga",-77.31,3.97,"Crustacea","Decapoda","Ocypodidae","Uca","Uca stylifera","Inter_M",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0
