/* DATA DESCRIPTION:
Citation:	Tara Oceans Consortium, Coordinators; Tara Oceans Expedition, Participants (2015): Registry of all events from the Tara Oceans Expedition (2009-2013) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.842227
Abstract:	The Tara Oceans Expedition (2009-2013) sampled the world oceans on board a 36 m long schooner, collecting environmental data and organisms from viruses to planktonic metazoans for later analyses using modern sequencing and state-of-the-art imaging technologies. Tara Oceans Data are particularly suited to study the genetic, morphological and functional diversity of plankton. The present data set is a registry of all events conducted during the Tara Oceans Expedition (2009-2013). The registry provides details about the sampling date, time, location and methodology of each event. Uniform resource locators (URLs) offer direct links to the corresponding (1) event logsheet filled on board, (2) environmental data published at PANGAEA, (3) list of samples prepared on board from each event, and (4) nucleotides data published at the European Nucleotides Archive (EBI-ENA).
Related to:	Pesant, Stephane; Not, Fabrice; Picheral, Marc; Kandels-Lewis, Stefanie; Le Bescot, Noan; Gorsky, G; Iudicone, Daniele; Karsenti, Eric; Speich, Sabrina; Troublé, Romain; Dimier, Céline; Searson, Sarah; Acinas, Silvia G; Bork, Peer; Boss, Emmanuel; Bowler, Chris; De Vargas, Colomban; Follows, Michael J; Grimsley, Nigel; Hingamp, Pascal; Jaillon, Olivier; Karp-Boss, Lee; Krzic, Uros; Ogata, Hiroyuki; Raes, Jeroen; Reynaud G., Emmanuel; Sardet, Christian; Sieracki, Michael E; Stemmann, Lars; Sullivan, Matthew B; Sunagawa, Shinichi; Velayoudon, Didier; Weissenbach, Jean; Wincker, Patrick (2015): Open science resources for the discovery and analysis of Tara Oceans data. Scientific Data, 2, 150023, https://doi.org/10.1038/sdata.2015.23
Project(s):	Fondation Tara Expeditions (FondTara) (URI: https://fondationtaraocean.org/en/home/)
	Tara Oceans Expedition (Tara_Oceans_2009-2013) (URI: https://fondationtaraocean.org/en/expedition/tara-oceans/)
Coverage:	MEDIAN LATITUDE: 13.804471 * MEDIAN LONGITUDE: -37.587853 * SOUTH-BOUND LATITUDE: -64.382200 * WEST-BOUND LONGITUDE: -168.903100 * NORTH-BOUND LATITUDE: 79.677700 * EAST-BOUND LONGITUDE: 174.991700
	DATE/TIME START: 2009-09-05T00:00:00 * DATE/TIME END: 2013-12-07T00:00:00
Event(s):	TARA_20090905Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: 47.309500 * LONGITUDE START: -3.867030 * LATITUDE END: 40.231000 * LONGITUDE END: -10.644000 * DATE/TIME START: 2009-09-05T00:00:00 * DATE/TIME END: 2009-09-10T00:00:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20090905Z_UDW_EVENT_CSSS ([day/night] [surface water layer (ENVO:00002042)]) * LATITUDE START: 47.309500 * LONGITUDE START: -3.867030 * LATITUDE END: 40.231000 * LONGITUDE END: -10.644000 * DATE/TIME START: 2009-09-05T00:00:00 * DATE/TIME END: 2009-09-10T00:00:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Continuous Surface Sampling System ([CSSS]) * COMMENT: Device: equipped with [AC-S] spectrophotometer (Wetlabs), [FLUO] chlorophyll fluorometer (WETLabs), [TSG] temperature and conductivity sensor (SeaBird) and [FRRF] Fast Repetition Rate Fluorometry (flow through model)]
	TARA_20090907T1029Z_001_EVENT_CAST ([day] [water layer with no specific feature]) * LATITUDE: 44.426700 * LONGITUDE: -9.832200 * DATE/TIME START: 2009-09-07T10:29:34 * DATE/TIME END: 2009-09-07T00:00:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: CTD (sbe19) ([CABLE]+[sbe19]) * COMMENT: [Engineer: Bottles did not fire]
