/* DATA DESCRIPTION:
Citation:	Tara Oceans Consortium, Coordinators; Tara Oceans Expedition, Participants (2015): Biodiversity context of all samples from the Tara Oceans Expedition (2009-2013) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.853809
Abstract:	The Tara Oceans Expedition (2009-2013) sampled the world oceans on board a 36 m long schooner, collecting environmental data and organisms from viruses to planktonic metazoans for later analyses using modern sequencing and state-of-the-art imaging technologies. Tara Oceans Data are particularly suited to study the genetic, morphological and functional diversity of plankton. The present data set provides biodiversity context to all samples from the Tara Oceans Expedition (2009-2013), including various diversity indexes calculated for the sampling location using satellite and model climatologies (Darwin project, Physat) and results from the sequencing of Tara Oceans samples.
Related to:	Pesant, Stephane; Tara Oceans Consortium, Coordinators; et al. (in prep.): Methodological and environmental context of Tara Oceans samples. Scientific Data
Project(s):	Fondation Tara Expeditions (FondTara) (URI: https://fondationtaraocean.org/en/home/)
	Tara Oceans Expedition (Tara_Oceans_2009-2013) (URI: https://fondationtaraocean.org/en/expedition/tara-oceans/)
Coverage:	MEDIAN LATITUDE: 22.310658 * MEDIAN LONGITUDE: -10.664854 * SOUTH-BOUND LATITUDE: -64.349400 * WEST-BOUND LONGITUDE: -168.550100 * NORTH-BOUND LATITUDE: 79.673200 * EAST-BOUND LONGITUDE: 174.991700
	DATE/TIME START: 2009-09-07T15:30:00 * DATE/TIME END: 2013-10-27T21:38:00
Event(s):	TARA_2009-2013_EVENT_unknown * DATE/TIME START: 2009-09-05T00:00:00 * DATE/TIME END: 2013-12-06T00:00:00 * COMMENT: This event is used to describe a few samples for which the sampling event is unknown
	TARA_20090907T1530Z_001_EVENT_NET ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090907T1530Z_001_EVENT_NET.pdf) * LATITUDE: 44.401300 * LONGITUDE: -9.827300 * DATE/TIME: 2009-09-07T15:30:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Bongo, mesh(µm)=300, mouth(m^2)=0.258319, length(m)=3 ([NET-BONGO-300])
	TARA_20090907T1610Z_001_EVENT_NET ([day] [surface water layer (ENVO:00002042)]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090907T1610Z_001_EVENT_NET.pdf) * LATITUDE: 44.401300 * LONGITUDE: -9.827300 * DATE/TIME: 2009-09-07T16:10:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5 ([NET-DOUBLE-20]+[SIEVE-180])
	TARA_20090909T1830Z_002_EVENT_NET ([day] [water layer with no specific feature]) (URI: https://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20090909T1830Z_002_EVENT_NET.pdf) * LATITUDE START: 39.056400 * LONGITUDE START: -10.980800 * LATITUDE END: 38.900000 * LONGITUDE END: -10.600000 * DATE/TIME START: 2009-09-09T18:30:00 * DATE/TIME END: 2009-09-09T19:00:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Plankton net, type=Regent, mesh(µm)=680, mouth(m^2)=0.754296, length(m)=4 ([NET-REGENT-680]) * COMMENT: [Logsheet: (Gorsky) Too much material - divided in 2 jars A & B - Salps bloom in the upwelling zone]
