"survey_id","SPECIES_CD","abundance"
"1000_1_2024","ACA BAHI",1
"1000_1_2024","ACA CHIR",2.49
"1000_1_2024","ACA COER",0
"1000_1_2024","CAN ROST",0
"1000_1_2024","CHA CAPI",0
"1000_1_2024","COR GLAU",0.5
"1000_1_2024","COR PERS",0
"1000_1_2024","HAE PLUM",0.5
"1000_1_2024","HAL BIVI",31.99
"1000_1_2024","HAL GARN",0
"1000_1_2024","HAL MACU",0
"1000_1_2024","OCY CHRY",0
"1000_1_2024","POM ARCU",0
"1000_1_2024","SCA ISER",2.49
"1000_1_2024","SPA ATOM",0
"1000_1_2024","SPA AURO",2
"1000_1_2024","SPA VIRI",0
"1000_1_2024","STE PART",0
"1000_1_2024","STE VARI",0
"1000_1_2024","THA BIFA",0
"1001_1_2024","ACA BAHI",0
"1001_1_2024","ACA CHIR",0
"1001_1_2024","ACA COER",0
"1001_1_2024","CAN ROST",0
"1001_1_2024","CHA CAPI",0
"1001_1_2024","COR GLAU",0
"1001_1_2024","COR PERS",0
"1001_1_2024","HAE PLUM",0
"1001_1_2024","HAL BIVI",3.49
"1001_1_2024","HAL GARN",0
"1001_1_2024","HAL MACU",0
"1001_1_2024","OCY CHRY",0
"1001_1_2024","POM ARCU",0
"1001_1_2024","SCA ISER",1
"1001_1_2024","SPA ATOM",0
"1001_1_2024","SPA AURO",2.49
"1001_1_2024","SPA VIRI",0
"1001_1_2024","STE PART",0
"1001_1_2024","STE VARI",0
"1001_1_2024","THA BIFA",0
"1001U_1_2018","ACA BAHI",0
"1001U_1_2018","ACA CHIR",0
"1001U_1_2018","ACA COER",0
"1001U_1_2018","CAN ROST",0
"1001U_1_2018","CHA CAPI",0
"1001U_1_2018","COR GLAU",2
"1001U_1_2018","COR PERS",0
"1001U_1_2018","HAE PLUM",0
"1001U_1_2018","HAL BIVI",17.98
"1001U_1_2018","HAL GARN",0
"1001U_1_2018","HAL MACU",1
"1001U_1_2018","OCY CHRY",1.5
"1001U_1_2018","POM ARCU",0
"1001U_1_2018","SCA ISER",11.49
"1001U_1_2018","SPA ATOM",0.5
"1001U_1_2018","SPA AURO",3.49
"1001U_1_2018","SPA VIRI",0
"1001U_1_2018","STE PART",0.5
"1001U_1_2018","STE VARI",1.5
"1001U_1_2018","THA BIFA",0
"1001U_2_2018","ACA BAHI",0
"1001U_2_2018","ACA CHIR",0
"1001U_2_2018","ACA COER",0
"1001U_2_2018","CAN ROST",0
"1001U_2_2018","CHA CAPI",0
"1001U_2_2018","COR GLAU",2.5
"1001U_2_2018","COR PERS",0
"1001U_2_2018","HAE PLUM",0
"1001U_2_2018","HAL BIVI",4.49
"1001U_2_2018","HAL GARN",0
"1001U_2_2018","HAL MACU",0
"1001U_2_2018","OCY CHRY",0.5
"1001U_2_2018","POM ARCU",0.5
"1001U_2_2018","SCA ISER",0
"1001U_2_2018","SPA ATOM",0
"1001U_2_2018","SPA AURO",0
"1001U_2_2018","SPA VIRI",0
"1001U_2_2018","STE PART",0
"1001U_2_2018","STE VARI",2.5
"1001U_2_2018","THA BIFA",0
"1002_1_2022","ACA BAHI",0
"1002_1_2022","ACA CHIR",0
"1002_1_2022","ACA COER",0
"1002_1_2022","CAN ROST",0
"1002_1_2022","CHA CAPI",0
"1002_1_2022","COR GLAU",0
"1002_1_2022","COR PERS",0
"1002_1_2022","HAE PLUM",3
"1002_1_2022","HAL BIVI",13
"1002_1_2022","HAL GARN",0
"1002_1_2022","HAL MACU",0
"1002_1_2022","OCY CHRY",2
"1002_1_2022","POM ARCU",0
"1002_1_2022","SCA ISER",10
"1002_1_2022","SPA ATOM",0
"1002_1_2022","SPA AURO",0
"1002_1_2022","SPA VIRI",0
"1002_1_2022","STE PART",0
"1002_1_2022","STE VARI",1
"1002_1_2022","THA BIFA",0
"1002_1_2024","ACA BAHI",0
"1002_1_2024","ACA CHIR",0
"1002_1_2024","ACA COER",3.99
"1002_1_2024","CAN ROST",0
"1002_1_2024","CHA CAPI",0.5
"1002_1_2024","COR GLAU",1
"1002_1_2024","COR PERS",0
"1002_1_2024","HAE PLUM",2.5
"1002_1_2024","HAL BIVI",7
"1002_1_2024","HAL GARN",1.5
"1002_1_2024","HAL MACU",0
"1002_1_2024","OCY CHRY",2.5
"1002_1_2024","POM ARCU",2.5
"1002_1_2024","SCA ISER",20.49
"1002_1_2024","SPA ATOM",0
"1002_1_2024","SPA AURO",12
"1002_1_2024","SPA VIRI",4
"1002_1_2024","STE PART",0
"1002_1_2024","STE VARI",0
"1002_1_2024","THA BIFA",0.5
"1002U_1_2018","ACA BAHI",0
"1002U_1_2018","ACA CHIR",0.5
"1002U_1_2018","ACA COER",0
"1002U_1_2018","CAN ROST",0
"1002U_1_2018","CHA CAPI",0
"1002U_1_2018","COR GLAU",1.5
"1002U_1_2018","COR PERS",0
"1002U_1_2018","HAE PLUM",1
"1002U_1_2018","HAL BIVI",4.5
"1002U_1_2018","HAL GARN",0
"1002U_1_2018","HAL MACU",1
"1002U_1_2018","OCY CHRY",2.5
"1002U_1_2018","POM ARCU",0
"1002U_1_2018","SCA ISER",3.49
"1002U_1_2018","SPA ATOM",1
"1002U_1_2018","SPA AURO",0
"1002U_1_2018","SPA VIRI",0
"1002U_1_2018","STE PART",0
"1002U_1_2018","STE VARI",2
"1002U_1_2018","THA BIFA",0
"1002U_2_2018","ACA BAHI",0.5
"1002U_2_2018","ACA CHIR",0
"1002U_2_2018","ACA COER",0
"1002U_2_2018","CAN ROST",0
"1002U_2_2018","CHA CAPI",0
"1002U_2_2018","COR GLAU",1
"1002U_2_2018","COR PERS",0
"1002U_2_2018","HAE PLUM",0
"1002U_2_2018","HAL BIVI",6.49
"1002U_2_2018","HAL GARN",0
"1002U_2_2018","HAL MACU",10.98
"1002U_2_2018","OCY CHRY",2.99
"1002U_2_2018","POM ARCU",0
"1002U_2_2018","SCA ISER",0
"1002U_2_2018","SPA ATOM",2
"1002U_2_2018","SPA AURO",0
"1002U_2_2018","SPA VIRI",0
"1002U_2_2018","STE PART",6.49
"1002U_2_2018","STE VARI",0.5
"1002U_2_2018","THA BIFA",14
"1003U_1_2014","ACA BAHI",0
"1003U_1_2014","ACA CHIR",6.98
"1003U_1_2014","ACA COER",0
"1003U_1_2014","CAN ROST",0
"1003U_1_2014","CHA CAPI",0
"1003U_1_2014","COR GLAU",0.5
"1003U_1_2014","COR PERS",0
"1003U_1_2014","HAE PLUM",28
"1003U_1_2014","HAL BIVI",6.49
"1003U_1_2014","HAL GARN",0
"1003U_1_2014","HAL MACU",0
"1003U_1_2014","OCY CHRY",21.42
"1003U_1_2014","POM ARCU",5.22
"1003U_1_2014","SCA ISER",2
"1003U_1_2014","SPA ATOM",0
"1003U_1_2014","SPA AURO",7.98
"1003U_1_2014","SPA VIRI",0.5
"1003U_1_2014","STE PART",0.5
"1003U_1_2014","STE VARI",0.5
"1003U_1_2014","THA BIFA",0.5
"1003U_1_2016","ACA BAHI",1
"1003U_1_2016","ACA CHIR",0
"1003U_1_2016","ACA COER",0
"1003U_1_2016","CAN ROST",0
"1003U_1_2016","CHA CAPI",0
"1003U_1_2016","COR GLAU",0
"1003U_1_2016","COR PERS",0
"1003U_1_2016","HAE PLUM",0
"1003U_1_2016","HAL BIVI",0
"1003U_1_2016","HAL GARN",0
"1003U_1_2016","HAL MACU",0
"1003U_1_2016","OCY CHRY",0
"1003U_1_2016","POM ARCU",0
"1003U_1_2016","SCA ISER",0
"1003U_1_2016","SPA ATOM",0
"1003U_1_2016","SPA AURO",0
"1003U_1_2016","SPA VIRI",0
"1003U_1_2016","STE PART",0
"1003U_1_2016","STE VARI",0
"1003U_1_2016","THA BIFA",0
"1003U_1_2018","ACA BAHI",0
"1003U_1_2018","ACA CHIR",0
"1003U_1_2018","ACA COER",0
"1003U_1_2018","CAN ROST",0
"1003U_1_2018","CHA CAPI",0
"1003U_1_2018","COR GLAU",0
"1003U_1_2018","COR PERS",0
"1003U_1_2018","HAE PLUM",0
"1003U_1_2018","HAL BIVI",0
"1003U_1_2018","HAL GARN",0
"1003U_1_2018","HAL MACU",0
"1003U_1_2018","OCY CHRY",0
"1003U_1_2018","POM ARCU",0
"1003U_1_2018","SCA ISER",0
"1003U_1_2018","SPA ATOM",0
"1003U_1_2018","SPA AURO",0
"1003U_1_2018","SPA VIRI",0
"1003U_1_2018","STE PART",0
"1003U_1_2018","STE VARI",1
"1003U_1_2018","THA BIFA",0
"1003U_2_2014","ACA BAHI",1
"1003U_2_2014","ACA CHIR",0.5
