"SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME"
"ACA BAHI","Acanthurus bahianus","ocean surgeon"
"ACA CHIR","Acanthurus chirurgus","doctorfish"
"ACA COER","Acanthurus coeruleus","blue tang"
"CAN ROST","Canthigaster rostrata","sharpnose puffer"
"CHA CAPI","Chaetodon capistratus","foureye butterflyfish"
"COR GLAU","Coryphopterus glaucofraenum","bridled goby"
"COR PERS","Coryphopterus personatus","masked goby"
"HAE PLUM","Haemulon plumierii","white grunt"
"HAL BIVI","Halichoeres bivittatus","slippery dick"
"HAL GARN","Halichoeres garnoti","yellowhead wrasse"
"HAL MACU","Halichoeres maculipinna","clown wrasse"
"OCY CHRY","Ocyurus chrysurus","yellowtail snapper"
"POM ARCU","Pomacanthus arcuatus","gray angelfish"
"SCA ISER","Scarus iseri","striped parrotfish"
"SPA ATOM","Sparisoma atomarium","greenblotch parrotfish"
"SPA AURO","Sparisoma aurofrenatum","redband parrotfish"
"SPA VIRI","Sparisoma viride","stoplight parrotfish"
"STE PART","Stegastes partitus","bicolor damselfish"
"STE VARI","Stegastes variabilis","cocoa damselfish"
"THA BIFA","Thalassoma bifasciatum","bluehead"
