"survey_id","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","latitude","longitude","DEPTH","UNDERWATER_VISIBILITY","HABITAT_TYPE","ZONE_NAME","SUB_REGION_NAME","REGION_DESCRIPTION","PROT","MPA_NAME","total_abundance","species_richness"
"1003U_1_2014","1003U",1,2014,25.3336,-80.21798,3.9,7.6,"Contiguous reef - non-spur-groove - low vertical relief","Inshore","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",102.83,22
"1003U_2_2014","1003U",2,2014,25.33378,-80.21812,4.5,6.9,"Contiguous reef - non-spur-groove - low vertical relief","Inshore","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",47.47,13
"1004U_1_2014","1004U",1,2014,25.43735,-80.1911,3.5,5.9,"Isolated - patchy reef structures - low vertical relief","Inshore","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",255.65,22
"1005U_1_2014","1005U",1,2014,25.45758,-80.18101,3.6,5.1,"Isolated - patchy reef structures - low vertical relief","Inshore","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",192.68,25
"1006U_1_2014","1006U",1,2014,25.67501,-80.11895,7.6,9.9,"Contiguous reef - non-spur-groove - low vertical relief","Inshore","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",138.69,19
"1006U_2_2014","1006U",2,2014,25.67524,-80.11911,7.8,8.4,"Contiguous reef - non-spur-groove - low vertical relief","Inshore","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",77.13,24
"1008U_1_2014","1008U",1,2014,25.7456,-80.12055,7,3,"Contiguous reef - non-spur-groove - low vertical relief","Inshore","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",4.24,2
"1008U_2_2014","1008U",2,2014,25.74534,-80.12024,7.5,3,"Contiguous reef - non-spur-groove - low vertical relief","Inshore","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",2,3
"1009U_1_2014","1009U",1,2014,25.31433,-80.19732,6.7,6.9,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",142.35,29
"1009U_2_2014","1009U",2,2014,25.3144,-80.19738,7.2,6.9,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",142.91,22
"1010U_1_2014","1010U",1,2014,25.33805,-80.19193,7.2,7.6,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",98.88,24
"1010U_2_2014","1010U",2,2014,25.33808,-80.19198,7.2,7.6,"Isolated - patchy reef structures - low vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",63.67,25
"1011U_1_2014","1011U",1,2014,25.34612,-80.19622,4,7.6,"Isolated - patchy reef structures - moderate vertical relief","Mid Channel","Biscayne","Florida Keys: from Key West to Miami",0,"Unprotected",82.68,20
